2016-12-15 21:17:22 startup archives unpack
2016-12-15 21:17:25 install libnfnetlink0:amd64 <none> 1.0.1-3
2016-12-15 21:17:25 status half-installed libnfnetlink0:amd64 1.0.1-3
2016-12-15 21:17:26 status unpacked libnfnetlink0:amd64 1.0.1-3
2016-12-15 21:17:26 status unpacked libnfnetlink0:amd64 1.0.1-3
2016-12-15 21:17:27 install libip4tc0:amd64 <none> 1.6.0-4
2016-12-15 21:17:27 status triggers-pending libc-bin:amd64 2.24-5
2016-12-15 21:17:27 status half-installed libip4tc0:amd64 1.6.0-4
2016-12-15 21:17:28 status unpacked libip4tc0:amd64 1.6.0-4
2016-12-15 21:17:28 status unpacked libip4tc0:amd64 1.6.0-4
2016-12-15 21:17:29 install libip6tc0:amd64 <none> 1.6.0-4
2016-12-15 21:17:29 status half-installed libip6tc0:amd64 1.6.0-4
2016-12-15 21:17:30 status unpacked libip6tc0:amd64 1.6.0-4
2016-12-15 21:17:30 status unpacked libip6tc0:amd64 1.6.0-4
2016-12-15 21:17:31 install libiptc0:amd64 <none> 1.6.0-4
2016-12-15 21:17:31 status half-installed libiptc0:amd64 1.6.0-4
2016-12-15 21:17:32 status unpacked libiptc0:amd64 1.6.0-4
2016-12-15 21:17:32 status unpacked libiptc0:amd64 1.6.0-4
2016-12-15 21:17:33 install libxtables11:amd64 <none> 1.6.0-4
2016-12-15 21:17:33 status half-installed libxtables11:amd64 1.6.0-4
2016-12-15 21:17:33 status unpacked libxtables11:amd64 1.6.0-4
2016-12-15 21:17:34 status unpacked libxtables11:amd64 1.6.0-4
2016-12-15 21:17:34 install libnetfilter-conntrack3:amd64 <none> 1.0.6-2
2016-12-15 21:17:34 status half-installed libnetfilter-conntrack3:amd64 1.0.6-2
2016-12-15 21:17:35 status unpacked libnetfilter-conntrack3:amd64 1.0.6-2
2016-12-15 21:17:35 status unpacked libnetfilter-conntrack3:amd64 1.0.6-2
2016-12-15 21:17:36 install iptables:amd64 <none> 1.6.0-4
2016-12-15 21:17:36 status half-installed iptables:amd64 1.6.0-4
2016-12-15 21:17:36 status unpacked iptables:amd64 1.6.0-4
2016-12-15 21:17:37 status unpacked iptables:amd64 1.6.0-4
2016-12-15 21:17:38 install ufw:all <none> 0.35-2
2016-12-15 21:17:38 status half-installed ufw:all 0.35-2
2016-12-15 21:17:39 status unpacked ufw:all 0.35-2
2016-12-15 21:17:39 status unpacked ufw:all 0.35-2
2016-12-15 21:17:40 startup packages configure
2016-12-15 21:17:40 configure libip4tc0:amd64 1.6.0-4 <none>
2016-12-15 21:17:40 status unpacked libip4tc0:amd64 1.6.0-4
2016-12-15 21:17:40 status half-configured libip4tc0:amd64 1.6.0-4
2016-12-15 21:17:40 status installed libip4tc0:amd64 1.6.0-4
2016-12-15 21:17:41 configure libxtables11:amd64 1.6.0-4 <none>
2016-12-15 21:17:41 status unpacked libxtables11:amd64 1.6.0-4
2016-12-15 21:17:41 status half-configured libxtables11:amd64 1.6.0-4
